thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,okay 
1,A2,s,s-A2,g,shall we begin now 
1,A1,s,s-A1,f,okay 
2,o,n,n-o,g,okay 
2,A2,s,s-A2,g,ehm shall we call eh north ehm the top of the page 
2,A1,s,s-A1,f,right okay that's fine 
2,o,s,s-o,g,okay 
3,A2,n,n-A2,g,ehm go straight down south past the diamond 'til you get just to where the words diamond start 
3,A1,s,s-A1,f,mm okay 
4,A2,n,n-A2,g,go round ehm horizontally underneath diamond and along past the graveyard sort up in a sort slightly diagonal line to where the d"" is in the graveyard ""
4,o,s,s-o,g,okay 
4,ch,s,s-ch,f,eh graveyard 
5,K2,n,n-K2,g,have you got the graveyard written down 
5,K1,s,s-K1,f,no i don't have a graveyard on this one 
6,K1,n,n-K1,f,yes i've got a gold 
6,o,s,s-o,g,ah s-- 
7,K2,n,n-K2,g,you don't have diamond though 
7,K1,s,s-K1,f,no 
8,K1,n,n-K1,f,it's a gold according to this one 
9,K1,n,n-K1,f,presumably that's the same 
9,ch,s,s-ch,g,well i've got a gold as well you see 
9,o,s,s-o,f,i see mm that's interesting 
9,o,s,s-o,g,ehm oh dear 
10,K2,n,n-K2,g,ehm do you have a graveyard 
10,K1,s,s-K1,f,no no graveyard 
11,K1,n,n-K1,f,got eh carved stones at the top of the page 
12,K1,n,n-K1,f,and directly below the diamond sorry just beyond diamond below the diamond is the gold 
12,o,s,s-o,g,right 
13,K1,n,n-K1,f,sorry yes yes the diamond we've just gone past 
14,K1,n,n-K1,g,right so we're down past the diamond 
14,o,s,s-o,f,yeah 
14,o,s,s-o,f,yes 
15,o,n,n-o,g,along 
15,A2,s,s-A2,g,ehm could we ehm up we want to go north through the graveyard and round and a-- above the carved stones 
15,A1,s,s-A1,f,above the carved stones okay 
16,A2,n,n-A2,g,ehm straight down for a while 
17,K2,n,n-K2,g,do you have indian country 
17,K1,s,s-K1,f,yes 
17,o,s,s-o,g,do you indi-- 
18,K1,n,n-K1,f,i've also got a ravine below the carved stones 
18,o,s,s-o,g,right 
19,K1,n,n-K1,g,i don't have a ravine 
19,o,s,s-o,f,right okay 
19,o,s,s-o,g,right 
20,K1,n,n-K1,g,i want to go straight down 
21,K1,n,n-K1,f,i'll need to avoid that 
22,K2,n,n-K2,g,do you you have indian country 
22,K1,s,s-K1,f,yes got indian country 
23,A2,n,n-A2,g,ehm we want to go ehm we don't want to go underneath indian country we want to go above it 
23,A1,s,s-A1,f,right 
24,K2,n,n-K2,g,sort d-- do you have a great rock 
24,K1,s,s-K1,f,yes got a great rock 
25,o,n,n-o,g,yeah 
25,A2,s,s-A2,g,you want to go between the indian country and the great rock and actually diagonally so you're underneath the great rock 
25,A1,s,s-A1,f,right 
26,K2,n,n-K2,f,so going down to indian country 
26,K1,s,s-K1,g,uh-huh 
27,A2,n,n-A2,g,and then up diagonally 
28,K1,n,n-K1,f,above indian country 
28,o,s,s-o,g,above indian country 
29,A2,n,n-A2,g,diagonally down to un-- h-- horizontally underneath the great rock 
29,A1,s,s-A1,f,okay 
30,o,n,n-o,g,okay i-- 
31,K2,n,n-K2,f,so beneath the great rock 
31,K1,s,s-K1,g,right beneath the great rock 
32,K2,n,n-K2,g,ehm you have the gold next 
32,K1,s,s-K1,f,yeah 
32,o,s,s-o,g,right 
32,o,s,s-o,f,okay 
33,o,n,n-o,g,and straight down ehm do 
33,K2,s,s-K2,g,do you have a trout farm 
33,K1,s,s-K1,f,yes i've got a trout farm 
33,o,s,s-o,g,uh-huh 
34,A2,n,n-A2,g,ehm a sort south down and to horizontally along underneath the trout farm so you're going down and then along to the trout farm underneath the trout farm 
34,o,s,s-o,f,and then along to the trout farm 
34,A1,s,s-A1,f,okay 
35,K2,n,n-K2,g,do you have the cavalry 
35,K1,s,s-K1,f,no there's no cavalry on this map 
35,o,s,s-o,g,cavalry 
36,K1,n,n-K1,g,mm ehm underneath the trout farm i've got some 
37,A2,n,n-A2,g,so if you go ehm horizontally 'til about an inch from the end of the page 
37,A1,s,s-A1,f,right 
38,A2,n,n-A2,g,and straight down 'til about two inches from the bottom of the page 
39,K2,n,n-K2,g,do you have cattle stockade 
39,K1,s,s-K1,f,yes 
39,o,s,s-o,g,right 
