Speaker,DialogAct,Text
B,Task,"That should hopefully do the trick comm um . "
B,Minor,"'Kay . "
B,Other,"Sorry about the small delay . "
B,Task,"Falling a little bit behind schedule . "
B,Task,"And that's uh fifteen twenty five . "
B,Minor,"Okay . So "
B,Other,"just to try and roughly go over what we agreed in the last one comm um "
B,Elicit,"we're gonna go for something uh uh how was it ? "
B,Task,"Uh The new black comm I believe . "
B,Task,"Um something that looks good "
C,Minor,". "
B,Task,"'cause that seems to be in preference to actual functionality in the end comm "
B,Task,"though we should never avoid functionality comm of course . "
B,Task,"Uh many of our components are gonna be standard comm off the shelf comm "
B,Task,"but it seemed like we were gonna require at least an advanced chip "
B,Task,"and we were still very much for the idea of using an L_C_D_ display . "
B,Task,"Um other things were we were hoping to use rubber comm "
B,Task,"most likely gonna be double curved comm etcetera . "
B,Minor,"Okay . So um "
B,Task,"due to your hard work comm we might as well let the uh two designers go first comm "
B,Task,"and uh show us the prototype . "
A,Minor,"Okay comm "
A,Minor,"it's a "
B,Task,"Quite how the best way to do this is comm I'm not sure comm "
A,Task,"I think if we both step up "
B,Minor,"but "
A,Task,"and uh outline our ideas . "
A,Minor,"Okay . Now "
A,Task,"do uh doing the prototype gave us a bit more insight into the ergonomics of the design . "
A,Task,"Um for one thing comm it turned out that the only point at which it needs to be articulated for handedness is um is h i is down here for the uh L_E_D_ . "
A,Task,"As it turned out comm the whole thing transfers from the right to left hand fairly well from the point of view of operating the uh function buttons and joystick comm "
A,Task,"though it might be an idea to be able to a adjust the positions for the base of the joystick just a little bit "
A,Minor,"for uh "
B,Minor,"Okay . "
A,Task,"ju just a thought . "
A,Task,"You could simply have a slightly ovoid shaped joystick "
A,Task,"that could then just be turn uh twisted round comm "
A,Task,"so that the uh sticky uh so that the bit that sticks out a bit more is on one side or the other . "
A,Task,"But as you as you see with the uh with holding it in the left hand comm the L_ uh the L_C_D_ is nowhere useful comm "
A,Task,"so that would need to be articulated uh if we're going to retain ergonomic design . "
A,Minor,"Um now "
A,Task,"I I got your note about uh keeping the cost down . "
B,Task,"I'm afraid yeah . "
A,Minor,"Yeah . "
B,Task,"We'll go into that a bit more comm "
B,Task,"but please go on . "
A,Task,"this design could be done with um with uh plastic casing . "
A,Task,"Though I would recommend around the grip part here in the middle comm having maybe just a rubber grip over that "
A,Task,"which would allow for a slightly more sort of bio-morphic form comm and a bit more ergonomic as well . "
A,Task,"As for the um as for the single curve comm um well this edge and this edge comm like I say it would be nice to have some curvature to it comm "
A,Task,"but it's not absolutely necessary . "
A,Task,"Really the curve that's most needed is the underside "
A,Task,"so that the jo so that the joystick rests over the the edge of the hand like this . "
A,Task,"Um and you have the uh transmitter here and a wee speaker for the uh for the uh for the uh fi uh for the remote control finder . "
A,Minor,"So . "
A,Elicit,"Any further comments ? "
D,Task,"Um obviously it's gonna be bulkier than how it looks comm "
D,Task,"because it's gonna be flat on one side comm "
D,Task,"so the L_C_D_ will be s sticking down like this comm "
D,Elicit,"won't it ? "
A,Task,"Mm-hmm . Yeah . "
D,Task,"'Cause it you can't get it curved . "
D,Task,"Uh because of costs . "
A,Minor,"Yeah comm I mean "
A,Minor,"the "
A,Minor,"uh Yeah . "
D,Task,"And it's plastic as well comm "
D,Task,"so it won't be as comfortable on the hand . "
B,Minor,"Mm . "
A,Minor,"Yeah . "
A,Task,"I mean with the with the rubber design it could i you know it could pretty much mould very much to the to the user's hand . "
A,Task,"One nice wee feature "
A,Task,"if we could if we could still do the rubber comm I though of was to have the uh rubber extend beyond the end of the uh of the rigid substructure . "
A,Task,"So it has a wee sort of tail "
A,Task,"that you just drape over your wrist "
A,Task,"so it stays in position nicely . "
A,Task,"Mm . Lovely . Um . "
D,Task,"Yeah comm . "
B,Minor,"Okay comm "
