Speaker,DialogAct,Text
A,Elicit,"All set ? "
A,Task,"Okay . Cool . "
A,Minor,"Right . So um basically "
A,Other,"I'm just gonna go over real quickly um some news I've just got from the board on how we're supposed to do with this um remote control . "
A,Task,"And then I'm gonna turn over to you guys to make brief presentations um on what you've found "
A,Task,"and then we'll have a bit of discussion . "
A,Minor,"So basically uh "
A,Task,"what I've just found out from the board "
A,Elicit,"I dunno if you guys got this email as well "
A,Task,"but it needs to be television only . "
A,Minor,"So no "
A,Task,"we're not doing D_V_D_ comm "
D,Other,"Okay . "
A,Task,"we're not doing anything else comm "
A,Task,"it's just gonna be a television remote . "
A,Task,"Um it also needs to have the company colours included in it . "
A,Minor,"Um so "
A,Task,"that's red and black . "
A,Task,"And it has to have the slogan comm case you guys forget the slogan it's comm we put fashion in electronics . "
A,Task,"Um and no teletext . "
A,Task,"I'm not sure what teletext is "
A,Task,"but I'm assuming you guys do comm "
A,Task,"so we don't wanna include that um in this particular design . "
A,Task,"For reasons that I don't really know . "
A,Minor,"There's "
A,Task,"but it's the board so there you go . "
A,Minor,"So basically um "
A,Task,"given those guidelines which will have some effect on how we design "
A,Task,"we'll discuss it later "
A,Minor,"I mean "
A,Task,"'cause it's television only "
A,Minor,"we'll be able to change our "
A,Minor,"uh um well "
A,Task,"we can s sacrifice more function for a better television remote . "
A,Minor,"Anyway . So "
A,Task,"I'm gonna turn over to the Industrial Designer uh to go ahead and make a presentation "
A,Minor,"on "
B,Task,"Okay . "
B,Elicit,"So do I unplug this bit here ? "
D,Task,"Gotta plug you in . "
A,Other,"Oh comm "
A,Task,"right yeah . "
A,Task,"Yep . "
A,Task,"Might have to hit function F_ eight "
A,Task,"but it looks like it's gonna come up . "
A,Task,"Yep . Cool . "
B,Task,"Okay . "
B,Minor,"Right . "
B,Task,"That's page one of my presentation . "
A,Task,"Brilliant . "
D,Task,"Very nice . "
D,Task,"For your first PowerPoint it's lovely . "
B,Minor,"So "
B,Other,"the uh method . "
B,Task,"We're gonna have to understand how remote controls work and res uh successfully complete this project . "
B,Task,"Um remote control works as follows . "
B,Task,"This is all pretty basic stuff you guys . "
B,Task,"Um sends message to another system comm "
B,Minor,"so "
B,Task,"there's an energy source involved in that like a battery or solar power comm something along those lines comm "
B,Task,"there's an integrated circuit comm "
B,Task,"which is the microchip comm "
B,Task,"um and that actually compose the messages "
B,Task,"and usually the way a a remote control works is it sends infrared bits to another system . "
B,Task,"A user interface controls the chip comm "
B,Task,"basically that's the casing and the buttons and um accordingly the messages as well . "
B,Minor,"So "
B,Other,"my findings comm "
B,Task,"um I just did a preliminary study here "
B,Task,"and uh I found that too much metal in remote design could potentially cause interference with the ability of the remote to send commands . "
B,Task,"And too much metal can cause remotes to behave unexpectedly by receiving false signals . "
B,Task,"Um too much metal is used sometimes "
B,Task,"and people pick up radio signals and the like comm "
B,Task,"and there's also the possibility of the remote catching on fire "
B,Task,"and injuring the customer comm "
B,Task,"just think of those lawsuits comm that'd be really bad . "
B,Task,"Therefore I suggest primarily plastic construction . "
A,Minor,"'Kay . "
B,Other,"Um comm components . Just some ideas that I had comm "
B,Other,"um comm energy source comm "
B,Task,"it's kinda hip to be eco friendly "
B,Task,"so I thought maybe we could do something with solar power with an alkaline battery backup . "
B,Other,"Um the user interface comm "
B,Minor,"I was "
B,Task,"since we can't use metal "
B,Task,"I was thinking maybe a high grade recycled plastic . "
A,Minor,"Mm . "
B,Task,"The chip comm um comm silicon based chip I don't really see any way around that comm "
B,Task,"we can't really be different in that respect . "
B,Task,"Um comm the sender well I'm thinking infrared "
B,Task,"'cause it is the industry standard comm "
B,Task,"multi channel comm "
B,Task,"that's a word I made up comm "
B,Other,"I don't really know what it means . "
A,Task,"'Kay . Fair enough . "
B,Task,"Uh PAL and N_T_S_C_ compatible "
B,Task,"and uh probably a two hundred foot range . "
A,Minor,"'Kay . "
B,Task,"Uh and the receiver of course is any number of electronic devices . "
B,Task,"Um but in this case it'll only be T_V_s . "
B,Other,"Um personal preferences comm "
B,Task,"I really think that we should use plastic as opposed to metal comm "
B,Task,"um comm the company simply can't afford this kinds of lawsuits "
D,Minor,"Fine . "
B,Task,"which adm admittedly is gonna come at the cost of a certain aesthetic value comm "
B,Minor,"'cause we were thinking "
A,Elicit,"Is is there a way that we can use um modern types of polymers comm or mo modern types of plastics "
A,Task,"that maybe do have some kind of aesthetic value "
A,Minor,"um like "
A,Minor,"if a white "
A,Minor,"like "
A,Minor,"if we talk about "
A,Minor,"like well like "
A,Task,"on the lapt on these laptops and other ones they use a a pretty nice comm "
B,Minor,"Right . "
D,Task,"It needs comm yeah . "
A,Elicit,"you can do i is there some kind of nice colo der quality plastic that we can work with ? "
B,Task,"Yeah that shouldn't be a problem . "
B,Task,"Um for example the plastic they have on your laptop there is something that's perfectly possible for us to do . "
A,Other,"Okay comm okay . "
D,Other,"Cool . "
B,Task,"That's the end of my presentation . "
A,Other,"Great . "
A,Other,"Thank you very much Nathan . "
A,Task,"Um if next we can have the um User Interface Developer go ahead and make a brief presentation that'd be great as well . "
A,Minor,"S "
A,Task,"plug yourself in here . "
A,Other,"Mm . "
A,Task,"Um hit function F_ eight real quickly comm "
A,Task,"hold down "
A,Other,"Mm . "
D,Task,"Looks like you're in okay . "
B,Elicit,"Is it plugged in well ? "
B,Task,"There it goes . "
B,Task,"Computer adjusting . "
C,Minor,"Th "
D,Task,"There you go . "
A,Task,"There you go . Sweet . "
C,Minor,"Well so . "
C,Task,"Here we have a uh my technical functions design presentation . "
C,Other,"Um so a few of the requirements we need here . "
C,Task,"Uh we n basically need to operate an electronic device comm "
C,Task,"it needs to be universal "
C,Task,"um and possibly uh operate several different types of devices "
C,Task,"although we now uh find that uh that that's no problem . "
A,Task,"Yeah "
A,Other,"sorry I couldn't get that g to use before . "
C,Minor,"Um so "
C,Other,"some of my findings . "
C,Task,"Um basically wanna send messages uh to a television set . "
C,Task,"Um that would be any number of different things uh such as switch on the television comm uh switch to the next channel comm that sort of thing comm "
C,Other,"I think we're all quite uh "
C,Other,"quite uh intelligent "
C,Task,"and know know what a normal remote control does . "
C,Minor,"Um now "
C,Task,"some of the other things I found is a a complicated remote control "
C,Task,"sorry that we can't quite see my red there very well "
A,Task,"Oh yeah look at that . "
B,Task,"Mm . "
C,Task,"but uh this remote control has many functions "
C,Task,"um so it can do a lot of things "
C,Task,"but it uh it is quite complicated "
C,Task,"and most users will find it uh find that they won't use most of the functions "
A,Minor,"Mm-hmm . "
C,Task,"because they don't know how to use them "
C,Task,"and don't wanna take the time to learn how to do it . "
C,Task,"As you also notice it's quite a boring design . "
C,Task,"Um . Another remote control comm slightly different comm "
C,Task,"it's a simpler remote control uh many less buttons but uh has many fewer functions comm "
C,Task,"um m much easier for the user to manipulate and use . "
C,Task,"Um it also has a bit of a cheap look "
C,Task,"and it's also quite boring . "
C,Minor,"So "
C,Other,"my personal preferences . "
C,Task,"Revolutionise the idea of uh a remote control . "
A,Other,"Nice . "
C,Task,"Um so attain the functionality of a complicated device "
C,Task,"but use a simple formatted display uh for the user to to work with . "
C,Task,"And I was gonna add another uh slide here "
C,Task,"but I didn't quite have time there . "
C,Task,"Um . Just incorporating some of the ideas that we had previously like uh having multiple face "
A,Minor,"Okay . "
C,Minor,"but it's uh . "
A,Other,"Great . Thanks for that Ron . "
D,Minor,"Right . "
D,Elicit,"Does that mean I'm up ? "
A,Minor,"'Kay "
A,Task,"yep that's you . "
D,Task,"I think so . "
D,Minor,"Okay . "
C,Other,"I can plug you in . "
D,Other,"Oh that would be perfect . Thank you . "
D,Task,"Slide show up and running . "
D,Task,"Or not . Uh . "
A,Task,"Give it a little bit . "
D,Minor,"Oh "
D,Task,"there we go . Perfect . "
D,Minor,"Okay . So "
D,Task,"this is me . "
D,Minor,"Um basically "
D,Task,"I was looking through some marketing reports that we've got "
D,Task,"and we had a usability test "
D,Task,"where we were actually sort like watching a hundred people use T_V_ remotes "
D,Task,"and see what it is that they're using "
D,Task,"and then they filled out a questionnaire "
D,Task,"about what they like and what they don't about their general T_V_ remote control practices . "
D,Task,"Um pretty much through testing we were finding out that most of the time comm everybody's used to using changing the channel comm turning it on comm using the volume comm "
D,Minor,"m "
D,Task,"the majority of the time that's all that's going on comm "
D,Task,"the other functions happen comm "
D,Task,"for some people they're important comm "
D,Task,"but the primary uses are really really basic . "
D,Task,"Um and so big complicated remotes like one we saw in the last presentation are really not the general public's use comm "
D,Task,"they're not using a lot of it comm "
D,Task,"they don't need it comm "
D,Task,"they even find it frustrating when there are all those buttons that they don't know what to do with . "
D,Task,"And um we also found out that uh fifty percent of our people comm their the worst thing about a remote is how often they lose it . And then they can't find it in the room . "
D,Task,"So I think what we were talking about with a pager or something comm will really come into play with a lot of these people . "
D,Task,"Um there's also a survey about what they liked about remotes comm "
