Speaker,DialogAct,Text
A,Minor,"Right comm so "
A,Task,"start of the first meeting . "
D,Minor,"Mm-hmm . "
A,Minor,"Uh . "
A,Task,"Right comm so agenda of the first meeting . "
A,Task,"Where we uh We have twenty five minutes for this meeting . "
B,Minor,"Okay . "
A,Task,"We uh are to get acquainted . "
A,Task,"So does everyone want to say who they are ? "
A,Elicit,"that seem sensible ? "
D,Task,"Yeah . "
D,Task,"I'm Robin . "
D,Task,"I'm the Marketing Manager . "
C,Task,"I'm Louisa . "
C,Task,"I'm the User Interface Designer . "
B,Task,"I'm Nick . "
B,Task,"I am the Industrial Designer . "
A,Task,"And I'm Alastair "
A,Task,"and I'm the project leader . "
A,Minor,"Alright okay comm "
A,Task,"so tool training . "
A,Minor,"Um . "
A,Other,"Project plan . "
A,Elicit,"So does anyone have any uh thoughts as to the tool training that uh is required ? "
B,Minor,"Tool training "
C,Other,"I'm not exactly sure what you mean by tool training . "
A,Task,"Neither am I . "
A,Other,"Oh I see comm "
A,Minor,"so we shouldn't really be "
A,Other,"Oh right okay comm so . "
A,Task,"So we have the project team comm which is to um basically to come up with a new r remote control device . "
A,Task,"Uh we have uh the starting base was the original which has been in existence now for a period of time . "
A,Task,"And uh our idea is to uh to make the new remote control device uh more user friendly than the previous one comm "
A,Task,"and to to be trendier comm to be with it comm "
A,Task,"and therefore to uh to get a bigger market share and bigger audience . "
B,Minor,"Yeah . "
A,Minor,"So um "
A,Task,"method of doing this is uh split up as you can see into uh the functional design comm the conceptional design comm and the detailed design "
A,Minor,". So um "
A,Task,"in each of these uh phases we'll uh basically be handing over to yourselves comm the designers of this uh this device . "
B,Minor,"Yes . "
A,Task,"And uh having uh meetings so that we can uh during the course of the day um come up with a better better inst implement than we had before . "
A,Task,"And therefore um have a successful uh conclusion to the day . Um "
A,Task,"and you'll be doing uh various designs uh throughout the day to meet this end . "
D,Minor,"Mm-hmm comm okay . "
A,Task,"So we've got tool training . "
A,Task,"Try out whiteboard . "
A,Task,"Uh . So we will um . "
A,Task,"Right so everyone's to uh supposedly uh draw their favourite animal over on the white board over there . "
A,Task,"I guess this is uh make sure the whiteboard works . "
