Speaker,DialogAct,Text
A,Elicit,"Is everyone ready to start ? "
B,Task,"Yeah . "
C,Task,"Yeah . "
D,Task,"Yes . "
A,Task,"Okay . Great . "
A,Other,"Well comm welcome to the third meeting of conceptual design . "
A,Other,"I'll just get the PowerPoint presentation up and running . "
A,Minor,"Okay . Um comm "
A,Task,"on the agenda for this comm um comm for this particular meeting comm we'll have your three presentations on what you've done since our last meeting comm after we came up with um some general ideas of our design . "
A,Task,"And comm um comm then we have to make some key decisions on comm on our remote control concept comm and how we're gonna make it comm what uh materials we're gonna use comm and that sort of thing . "
A,Task,"The meeting will be forty minutes long . "
B,Minor,"Okay . "
A,Task,"And um we will once again have Poppy as our first presenter . "
B,Minor,"Okay . "
A,Other,"Alright comm and I will switch up PowerPoint . "
B,Other,"Thank you . "
A,Other,"Okay . "
B,Task,"Should be just loading . "
B,Minor,"Okay . "
B,Other,"Oh comm "
B,Task,"although I can't see it on my screen . "
B,Other,"That says go here . "
B,Minor,"Okay . "
B,Task,"I've been doing some research into the different components that we could use comm um what's available to us f to actually make the remote control . "
B,Task,"Um comm first of all we have to look at how the remote control is actually made comm "
B,Task,"and what is it happens inside the casing comm which is more your field . "
B,Task,"Um comm thes main internal feature is a circuit board comm which contains all the elec electronics and also the contacts with the power source . "
B,Task,"Which is not necessarily a battery comm as we're about to see . "
B,Task,"Um comm there are several components of comm um comm the circuit board that we need to consider comm where we'll be getting them from comm what they'll be made of . "
B,Task,"Um comm including the integrated circuit comm which is also known as the chip . "
B,Task,"Which is where all the main information is uh contained . "
B,Task,"Um comm diodes comm transistors comm resonators comm resistors comm and capacit capacitors all need to be considered as well . "
B,Task,"Um comm and all their positioning in the circuit . "
A,Minor,"Um "
A,Elicit,"Are they all included comm like mandatorily comm or r are these different options ? "
B,Minor,"Uh comm these comm "
B,Task,"they're all different options comm "
B,Task,"they're all separate comm apart from the chip comm which we will probable decide whether we buy a simple comm a regular comm advanced . "
A,Minor,"Yeah . "
B,Task,"We can go into that later . "
B,Task,"Um comm all the other things are individual components that we'd have to get in separately comm "
B,Task,"and work out the most comm like comm effective um circuit comm including all the wires and everything like that . "
B,Task,"And the L_E_D_ of course comm that's a light emitting diode . "
B,Minor,"So comm we could comm "
B,Task,"so we've got flex flexibility with colours and things comm with that as well . "
A,Minor,"Mm . "
B,Task,"Okay comm there are lots of different possibilities for the energy source . "
B,Task,"We could use a basic battery comm "
B,Task,"but that brings with it comm like they need to be recharged and the bulk comm the size of it as well . "
B,Task,"And they're not so great to dispose of comm environmentally . "
B,Task,"There's a hand-powered dynamo which is a sort of thing that was used for torches fifty years ago . "
B,Task,"A bit out of date . "
B,Task,"Kinetic energy is something that's been recently developed . "
A,Minor,"Um "
A,Elicit,"What is a hand-powered dynamo ? "
B,Task,"Um comm where you manually charge up the power . "
B,Task,"Like you wind up something . "
A,Elicit,"Just every comm every once in a while ? "
B,Other,"Sorry ? "
A,Elicit,"Just every once in a while or constantly ? "
B,Task,"Yeah . Every once in a while I think "
B,Minor,". But it's "
A,Task,"Alright . "
A,Task,"It'd be kind of strange to always be cranking it I think . "
B,Task,"Yeah . "
B,Task,"It would be like going a step back in time . "
C,Minor,"Yeah . "
B,Task,"I don't think it would really be with kind of cutting edge technology . "
A,Task,"No . "
B,Task,"Whereas kinetic energy is a new idea that's being used by some watches and other devices comm where you just shake the device and it gives it power . "
B,Task,"I mean comm the kinetic energy is transformed into power to make the circuit work . "
B,Task,"Um comm or there's solar power comm "
B,Task,"which we've been considering inside a building comm which is where it's gonna be used comm might not be quite so useful . "
A,Minor,"Right . "
B,Task,"But comm good to look into comm "
B,Task,"renewable energy comm always the way . "
B,Task,"Um comm lots of considerations for the case comm like what sort of shape it would be comm curved or flat . "
B,Task,"That's got a lot to do with the ergonomics . "
B,Task,"Like how it's comfortable and s sits in the hand . "
B,Task,"We don't want something that's huge and you can't pick up . "
B,Task,"Or too small . "
B,Task,"Or too slidy . "
B,Task,"I know I've had a remote control before which you couldn't tell which was the front and the back comm "
B,Task,"'cause it had so many buttons on comm and the shape was so symmetrical that I'd be pressing like a volume button instead of the on button . "
D,Minor,"Mm . "
B,Task,"Because you can't really see which way round it is . "
A,Minor,"Right . "
B,Task,"Um comm we also can choose what materials "
B,Minor,"um comm the "
B,Task,"we could use metal comm "
B,Task,"we could use rubber "
B,Task,"which might be more um ideal for the anti-R_S_I_ . "
B,Task,"It's like the same sort of rubber that's used in stress balls and things like that comm so it's very like soft comm not so stressful on your hands . "
A,Minor,"Mm-hmm . "
B,Task,"Wood . "
B,Task,"Um comm again comm stepping back in time again there . "
B,Task,"I don't think that's quite up to date with what we're looking for here . "
A,Minor,"Yeah . "
B,Task,"Um comm titanium is not gonna be possible comm even though it just it beyond our budget really . "
B,Task,"But comm would've been maybe for future projects . "
B,Task,"Um right our choice for buttons as well . "
B,Minor,"We've developed some "
B,Task,"we've got some good advances in technology comm "
B,Task,"with our research team have found some uh new multiple um option scroll buttons . "
B,Minor,"I think that was brought up for comm um comm "
B,Task,"they're basically quite a flexible design comm modern comm you don't have to use individual buttons . "
B,Task,"You can just slide up and down . "
B,Task,"I'm sure we're all quite familiar with those on mobiles or computer laptop pads . "
C,Minor,"Yeah . "
A,Minor,"Mm-hmm . "
A,Task,"Um one thing with the scroll buttons though . "
A,Minor,"It comm it "
A,Task,"we would have to have an L_C_D_ um "
B,Task,"Yeah . That's true . "
A,Task,"display comm "
A,Task,"and the glow in the dark thing might be difficult . "
B,Minor,"And that would lead to an advanced "
B,Task,"yeah . "
B,Minor,"If we have "
B,Task,"yeah . "
B,Task,"We're going on to that later with the advanc with the L_C_D_ that means we'd need a really advanced chip . "
A,Minor,"Yeah . "
B,Task,"And it's unlikely that that's gonna be in our budget . "
D,Minor,"Mm-hmm . "
