Speaker,DialogAct,Text
A,Other,"Uh welcome back after lunch comm "
A,Other,"I hope uh you had a good lunch "
A,Other,"together . "
A,Task,"For uh this meeting the main agenda okay uh to discuss about the conceptual design meeting . "
A,Task,"Okay and the agenda will be the opening "
A,Task,"and uh that's uh the product manager or secretary that's me "
A,Task,"and uh the presentations from the Christine and uh Agnes and from Mister Ed . "
A,Minor,"And finally in this meeting we have to decide "
A,Task,"and we are to take a decision on the remote control concept and uh the functional design "
A,Task,"So we have forty minutes comm "
A,Task,"I think it's uh little bit uh low comm "
A,Task,"but I I hope we can finish it up "
A,Task,"so I'll handle to the the functional team comm "
A,Task,"to the Christine comm okay comm "
A,Task,"to discuss about uh the components concept . "
C,Task,"Okay . "
C,Task,"So uh comm if you could open the PowerPoint presentation . "
C,Task,"I'm number two . "
A,Other,"You're number two . "
A,Other,"'Kay "
C,Task,"Components design comm "
C,Task,"there we go . "
C,Task,"So uh can we put it in slide show mode ? "
C,Minor,"Yeah . "
A,Minor,"The next one . "
C,Task,"Right here comm "
C,Minor,"is that little "
C,Task,"that one comm "
C,Other,"yes please . "
C,Other,"Thank you . "
C,Other,"I'll take the mouse . "
C,Minor,"So uh "
C,Task,"we were looking he specifically at the components uh the following components comm "
C,Task,"uh the case comm the power supply comm uh the means of communications with the television set . "
C,Task,"In instance we had talked about using some sort of speech recognition comm "
C,Task,"you have to have microphone "
C,Task,"well no you don't actually I haven't have to have microphone in the device comm "
C,Minor,"but um "
C,Minor,"maybe you do have it a a way "
C,Task,"it has to it has to hear the speaker "
B,Minor,"Mm-hmm . "
C,Minor,"and um comm "
C,Task,"so it could be in the television set comm could be in the device comm "
C,Task,"but somewhere you have to put the microphone comm "
C,Minor,"um "
C,Task,"and a w a way of making beeps or sounds so you can find it when it's gets lost . "
C,Minor,"Um so the other w thing that we So . "
C,Task,"Our method for going about this is we've looked at uh the histo hi historical record comm what's worked comm what hasn't "
C,Task,"and then we also um we wanted to evaluate some new materials "
C,Task,"and we contacted manufacturing for their input "
C,Elicit,"because comm course comm we m might come up and choose the material that then manufacturing didn't have the technologies or capabilities to offer us comm "
C,Minor,"so uh "
C,Task,"this is the approach that we took during our um our research . "
C,Task,"So um for the case comm um we told we were making a specifica specific assumption that it would be curved in design . "
C,Task,"Course comm you know comm I wanted it to be expandable and shrinkable comm "
C,Task,"but um that uh doesn't seem to b be one of the choic non-option we can uh we can really seriously explore comm "
C,Task,"so then we were thinking about um rubber comm "
C,Task,"but um unfortunately that's been eliminated because of the heat uh factor "
C,Task,"and th um there might be some problems with the m uh how it's uh goes with the board . "
C,Task,"Uh and uh then th plastic also has this problem of melting and it's brittle it gets brittle after a while comm "
C,Task,"so um we still had titanium and and wood available comm "
C,Task,"but um unfortunately uh uh titanium's also been eliminated uh comm "
C,Task,"the m people in manufacturing said that you couldn't make d curved cases out of titanium comm "
C,Task,"although how Apple did it with th PowerBook I'm not su quite sure "
C,Minor,"but uh "
C,Task,"nevertheless um they've eliminated all of our options except wood . "
C,Task,"So comm this is our finding . "
B,Task,"At least it's environmentally friendly . "
C,Task,"And a as she said comm it's an environmentally friendly uh material comm "
C,Minor,"so we're we're currently uh proposing comm "
C,Task,"uh we'll get to all my personal preferences in just a second . "
C,Task,"So then there's this other matter of the chips and um well we could use a simple design on the board comm "
C,Task,"uh these simple chips comm but that's only works for the bu you don't get very much um intelligence with this simple one . "
C,Task,"And um then there was the regular which "
C,Task,"I regret that I've forgotten exactly why I'm eliminating that one . "
C,Task,"Uh the other option was this advanced chip on print comm "
C,Minor,"and uh we liked th we "
C,Task,"we found that it it includes this infrared sender comm "
