Speaker,DialogAct,Text
A,Minor,"So "
A,Other,"Hello . "
D,Other,"Good afternoon . "
D,Other,"Sorry I'm a little late . "
A,Other,"No problem . "
D,Task,"Got stuck in the traffic . "
A,Other,"Okay . "
A,Task,"That's possible on uh this time of day . "
A,Task,"Starts at three o'clock . Uh "
D,Minor,"Yeah . "
A,Minor,"Uh comm let me see . "
A,Task,"Our fourth and last meeting . "
A,Other,"There he is . "
A,Other,"Yes . "
A,Minor,"Okay "
A,Task,"this our last meeting . "
A,Task,"In this meeting we will discuss our final design . "
A,Task,"And we will do some evaluation about the comm not only the product comm but also the project . "
A,Task,"And then we're going to close the project today as well . "
A,Minor,"So "
A,Task,"after this you will be uh free to go "
A,Task,"and uh spend all your money . "
A,Task,"And this uh design comm detailed design meeting uh we will discuss uh the look-and-feel of the design comm the usability interface design comm "
A,Task,"and we will do the product evaluation . "
A,Task,"Um comm in order to do that we have this agenda . "
A,Task,"We'll have the prototype presentation first . "
A,Task,"Then we will set up some evaluation cri um criteria . "
A,Task,"Then we will look at the finance . "
A,Task,"Uh we will have to see if everything we wanna do is also possible within our budget . "
A,Task,"Because everything costs money comm "
A,Task,"and the more functions you wanna have the more money it will cost . "
A,Task,"So we have to see if it fits within the twelve and a half Euro per remote . "
A,Task,"But we will see that later . "
A,Task,"Then we will do the project uh evaluation comm "
A,Task,"and the closing after that . "
A,Task,"We've got forty minutes . "
A,Task,"So we will be finished at half past three . "
A,Task,"But first um we will do the this is prototype presentation . "
A,Minor,"So comm "
A,Task,"if some yeah if somebody wants step forward . "
C,Task,"Okay . "
C,Minor,"Well "
C,Task,"this is what me and Richard came up with . "
C,Task,"The default spot for the on-off button . "
C,Task,"The mute button just below that . "
C,Task,"Then there's the volume and channel selectors . "
C,Task,"Simple plus-minus button . "
C,Task,"Uh we thought of a help button . "
C,Task,"If you hold it and you press another button comm uh the help goes to the L_C_D_ screen . "
C,Task,"Then there's the zero to one to zero buttons . A button for teletext . A button for the subtitles . And the company logo . "
C,Task,"So it's rather simple prototype . "
C,Task,"And uh we'll have to see from testing uh how the users take it . "
A,Task,"Okay . "
D,Elicit,"Um comm is this the moment where we ask or can ask questions about the functionality ? "
B,Minor,"So "
C,Task,"Sure "
B,Task,"Yeah . Yeah . "
C,Task,"uh just pop in at any time . "
D,Task,"Um comm when you're in teletext there usually are buttons where you just you just press it and you g go to the next teletext page . "
B,Task,"Uh comm that's just uh the normal uh as th as the normal uh remote controls uh "
B,Minor,"So um "
B,Minor,"You put it uh "
B,Task,"you um came in uh page uh one hundred . Now you can use the normal uh one to zero buttons . "
D,Minor,"Mm-hmm . "
B,Minor,"And you "
B,Task,"But you can also uh use the um button th for uh changing the the channel . S so uh the shifting uh button . Uh for uh yeah shif shifting up in uh on t on t uh teletext comm and shifting uh down . So "
D,Minor,"Okay . "
