Speaker,DialogAct,Text
A,Other,"So welcome . "
A,Task,"The first kick-off meeting . "
A,Elicit,"What shall we do ? "
A,Task,"First the opening comm "
A,Task,"then the rest . "
A,Elicit,"What are we going to do . "
A,Task,"We m have to make a new remote control . "
A,Task,"It has to be original comm trendy and user-friendly . "
A,Task,"So we will get back th on that . "
A,Task,"First we have to make a functional design . "
A,Task,"After that we have to make a conceptual design comm "
A,Task,"and then after that a detailed design . "
A,Task,"So we'll discuss that later . "
A,Task,"First we have a look at . "
A,Task,"So first to we have to make a small painting . "
A,Elicit,"What have do we have to do . "
A,Task,"First you can save the documents . "
A,Task,"We have to do that every time we make something . "
A,Task,"You can print it . "
A,Task,"No . "
A,Task,"And we have to use the pen and the eraser . "
A,Task,"So Now . "
A,Task,"We all have to use this one . "
A,Task,"You have to make your own favourite animal . "
A,Other,"So I'll make an example . "
D,Minor,"Yep . "
A,Task,"First don't touch that things . "
A,Task,"You can use the pen . "
A,Task,"And then you can make um something . "
C,Task,"Nice . "
A,Task,"Um you can change some things . "
A,Task,"Um format comm line comm and change it . "
A,Task,"And you can change the colour . "
C,Task,"An elephant . "
A,Task,"So that's it . "
A,Minor,"So "
A,Task,"So and after it you have to save it . "
D,Minor,"Okay . "
A,Task,"Now we can make a new one . "
A,Task,"You have to paint now . "
D,Minor,"Oh . "
A,Task,"So you're next . "
C,Minor,"'Kay . "
D,Other,"Well we will try . "
D,Other,"Where it going ? "
C,Minor,". "
B,Minor,"Hmm . "
B,Task,"That's uh strange . "
C,Minor,". "
A,Elicit,"What is going on ? "
C,Task,"pop-ups . "
A,Minor,"What are you What ? "
D,Minor,"Hmm . "
A,Minor,". "
C,Other,"What is this comm Pictionary . "
D,Minor,"Uh "
A,Minor,"Um "
C,Task,"Uh a bird . "
A,Minor,"Is a It is a It is a "
C,Task,"Bird . "
A,Task,"A duck . "
D,Minor,"Mm . "
D,Minor,"So "
D,Task,"Now save ? "
C,Task,"Yeah . "
A,Task,"Yes . "
A,Minor,"Hmm . "
D,Task,"Now uh blank ? "
A,Task,"Blank comm yes . "
B,Minor,"Yeah . "
D,Minor,"Yeah . "
A,Elicit,"Okay next one . "
B,Other,"Okay . Let's try this . Uh "
C,Other,"Whoo . "
D,Minor,"Yeah comm yeah . "
B,Minor,"Um . Mm-hmm . "
B,Minor,"Mm . "
C,Other,"Oh not . Oh . "
A,Other,"Oh . "
C,Task,"Okay . Okay . Yeah . No problem . "
C,Other,"Shit happens . "
