Speaker,DialogAct,Text
A,Minor,"Okay . "
A,Task,"Well comm let's start . "
A,Other,"What are we doing ? "
A,Other,"Oops . "
B,Minor,"Hmm . "
C,Other,"Ah comm pinball . "
A,Other,"Okay . Okay . Not doing . "
D,Other,"Mm . Ah . Hey . Ah . "
A,Minor,"Uh "
B,Other,"Oh . "
D,Task,"Now I have my screen back too . "
A,Task,"Very good . "
A,Minor,"Okay . "
D,Minor,"Yeah . "
A,Task,"we have presentations . "
A,Task,"So first comm it's your turn . "
B,Other,"Mine . Oh comm great . "
A,Other,"Yeah . Isn't it amazing . "
C,Minor,"Huh . "
D,Task,"Yeah . "
D,Task,"Very interesting . "
B,Minor,"Uh "
A,Other,"Industrial Designer . "
A,Other,"Interface concept . "
B,Minor,"Yes comm well uh "
B,Other,"let's uh talk about the interface uh concept . "
B,Other,"Uh comm first I'll uh I'll uh discuss the buttons we just chose comm "
B,Other,"uh show you some samples comm uh "
B,Other,"uh discuss some colours and design maybe comm already . "
B,Other,"And uh my personal preferences . "
B,Task,"Well we chose the power button to switch the television on and off . "
B,Minor,"The bu uh "
B,Task,"the mute button to switch the volume on and o on and off . "
B,Task,"The channels buttons comm one to nine comm "
B,Minor,"and uh off uh uh "
B,Task,"zero to nine comm "
B,Task,"and the uh button to choose uh higher channels than nine . "
B,Task,"Uh the volume and channel quadrants comm "
B,Task,"uh left and right comm up and down arrows comm to uh do the volume and channel . "
B,Task,"And the menu menu button to man manipulate the L_C_D_ uh display . "
B,Task,"Um comm I found some uh interesting uh uh samples . Examples . "
B,Task,"Um comm well uh what's pretty standard is uh that it's that they're all pretty uh uh high uh "
D,Task,"Large . "
B,Task,"Yeah . Yeah . "
D,Task,"A lot a lot of buttons buttons . "
B,Task,"Large and and and pretty thin and uh and long . "
B,Task,"Um comm power buttons are mostly at the top "
B,Task,"uh left or right . "
B,Task,"Um comm well we see the the the same uh arrows . "
B,Task,"Like there . "
B,Minor,"And uh "
B,Task,"Yeah comm well arrow b buttons can be blue . "
B,Task,"And what's interesting is the the the icons on the buttons . "
B,Task,"Some buttons have icons like the play and stop comm "
B,Task,"but we don't use that . "
B,Task,"But uh comm these we we have to choose the right icons comm or or letters . "
B,Task,"Uh this is the V_ for volume comm but they're both uh a V_ . "
B,Task,"So it's it's not really very uh clear what's the function of that . "
D,Task,"Yeah . "
B,Minor,"Um "
B,Minor,"Yeah . So comm that's "
A,Task,"Can you go back one page ? "
A,Elicit,"For the uh menu comm what do we use for that ? "
B,Minor,"Uh comm well "
A,Task,"We don't have buttons for the menu . "
A,Task,"Or we may have to use channel of the volume and channel . "
B,Task,"Yeah . "
B,Task,"I thought that was our uh idea . "
A,Task,"Okay . "
B,Minor,"So comm uh how "
A,Minor,"But uh "
A,Task,"You have to put it on the "
B,Task,"Like this . "
A,Task,"Yeah . "
B,Task,"Or or this . "
B,Task,"And that the menu button is okay . "
A,Task,"Yeah but comm has to be clear that you can use the arrows . "
B,Task,"Yeah comm okay . "
D,Minor,"Yes . "
B,Elicit,"Uh comm so the "
B,Elicit,"The icons on the arrows comm as well comm you mean . "
A,Task,"Mm-hmm . Yes . The second one . "
B,Task,"Yeah . "
B,Task,"Uh comm well that's something to uh think about . "
A,Task,"Okay . "
C,Task,"Uh comm maybe I'll have something in my uh presentation . "
C,Task,"And you will see it . "
B,Minor,"Okay . "
D,Minor,"Okay . "
B,Task,"Um comm well I don't I don't know if we have to discuss this already comm or in the next uh meeting . "
B,Task,"But uh comm as we have to uh to to design the the case and the whole uh remote control in our uh our our corporate uh company uh uh colours and the logo comm I would uh recommend a yellow case . "
