Speaker,Negotiation,DialogAct,Text
A,d,Other,Welcome back . 
B,d,Other,Hello . 
D,d,Other,Hello . 
A,d,Minor,Uh let me see . 
B,K1,Task,There's one of mine . 
A,f,Task,Okay . 
A,f,Other,"Roo , welcome back . "
B,d,Other,"Hello , Flores . "
A,K1,Task,The waiting is for Sebastian . 
B,d,Minor,. 
A,K1,Task,There he is . 
B,K1,Task,We have a slight problem . 
C,K2,Elicit,Is there any time for a cup of coffee ? 
B,K1,Task,I opened uh the C_D_ ROM box uh guys . 
A,tr,Other,Sorry ? 
C,tr,Elicit,Can I get a cup of coffee ? 
A,K1,Task,"Uh no . You can't , "
C,f,Other,Okay . 
A,f,Other,sorry . 
B,f,Minor,So 
B,A2,Task,just cancel it . 
C,d,Minor,"Well , "
C,K1,Task,during my work I have no time either . 
C,f,Minor,So 
A,d,Minor,"Well , "
A,K1,Other,this is life . 
A,f,Other,Sorry 
A,d,Other,"uh , Roo . "
B,f,Minor,"Yeah , "
B,K1,Task,I opened the C_D_ ROM box . Accidentally . 
A,f,Other,Okay . 
A,f,Minor,Okay . 
B,K1,Task,But it's alright . 
A,K1,Other,"People , welcome back with the second meeting . "
A,K1,Task,Um for now on the schedule are a few points . 
A,K1,Task,"Uh first of all the opening , "
A,K1,Task,which we are doing now . 
A,K1,Task,"Um second , I received um some new project requirements . "
A,K1,Task,"I'm not sure if you received them as well , "
A,K1,Other,um but I will tell you about it . 
B,f,Minor,Mm-hmm . 
A,K2,Elicit,"Um then um the three of you uh prepared a presentation , I think ? "
A,K2,Elicit,Sebastian ? 
C,K1,Task,I think so too . 
A,K2,Elicit,Roo ? 
B,K1,Task,Yeah . 
A,K2,Elicit,Ruud ? 
D,K1,Task,Almost . 
A,f,Other,"Almost , okay . "
A,K1,Task,Then we'll do your one uh uh as la uh the last . 
A,K1,Minor,Um the top goal of this m 
B,K1,Task,"But you can't upload your presentation from here , I believe . "
A,K1,Task,Um we will figure that out . 
B,f,Task,Okay . 
A,A2,Minor,Ca can you try to 
D,A1,Other,Uh if it if it if it's wireless I could just uh put it in the . 
A,f,Minor,"Yeah , "
A,K1,Task,w we will see . 
B,K1,Task,I don't think it's wireless here . 
A,K1,Task,"Um it is , yeah . Yeah . "
C,K1,Task,It is . 
B,K2,Elicit,Or it is . 
C,K1,Task,It is . 
B,f,Elicit,Yeah ? 
B,f,Task,"Okay , great . "
D,f,Other,Uh okay . 
A,K1,Task,"Um the top goal of this meeting is to reach a decision on the product , on the target group um and and the functions of the remote control , "
A,A2,Task,so keep that in mind . Um 
A,K1,Task,we have forty minutes . 
A,d,Minor,So 
A,d,Task,it's now 
A,d,Minor,Yep . Okay . Um 
A,K1,Task,"the new project requirements , "
A,K1,Task,"first of all , um we didn't speak about it , "
A,K1,Task,"but we should not um support teletext in the remote , "
A,K1,Task,um because our b um board uh feels that uh teletext is out of date 
A,K1,Task,and internet is replacing teletext . 
A,K1,Task,So um we are not even going to try to um implement it in our product . 
A,K1,Task,It's a board decision . 
A,K1,Task,"Um the remote control should only be used for television , "
A,K1,Task,"because it's not uh f uh feasible , "
A,K1,Minor,it's not uh w 
B,f,Minor,Yeah . 
A,K1,Task,uh uh we we cannot make it because of the time to market um that we have to deal with . 
B,f,Minor,"Time , yeah . "
A,K1,Task,"Uh the third requirement is that we should focus on customers that are younger than uh forty , "
A,K1,Task,"which is important for you , uh Ruud , and as well for uh Roo . "
A,K1,Task,Because the product should um be uh interesting 
A,K1,Task,and and uh should be bought by people younger than forty . Um 
A,K1,Task,"then for Roo , as well uh important , the corporate image should be recognisable in our product . "
A,K1,Task,So the colour colours and the slogan um do have to be uh in the product . 
B,f,Other,Yes . 
A,K2,Elicit,Is that clear ? 
A,K2,Elicit,Any questions on these requirements ? 
A,f,Elicit,No ? 
A,f,Minor,Okay . 
A,K1,Task,"Um the individual presentations , "
A,d,Minor,I th 
A,A2,Elicit,"um Roo or Sebastian , who of you would like to start ? "
B,A1,Task,"Yeah , I'll start . "
A,f,Task,"Uh uh yeah . Okay , "
C,K1,Minor,Yes . 
A,f,Other,great . 
B,d,Minor,"Um Oh , "
B,K2,Minor,how can I uh 
B,f,Other,"Geez , "
