Speaker,DialogAct,Text
D,Other,"Okay . "
C,Other,"And don't forget the "
D,Minor,"Oh yeah . "
A,Other,"Um comm so hi everyone . "
A,Other,"Thanks for coming to this meeting . "
A,Task,"Um well as you all know the topic of this morning's meeting is uh the fact that we're moving and we are going to get more space . "
A,Task,"So that's a very good piece of news . "
A,Task,"Uh but we also have to find out how we use this space . "
A,Other,"So um if you want comm I'll just give a brief overview of what's happening "
A,Task,"and then we can uh talk about comm well comm arranging these new uh the new office space . "
A,Other,"So um in case you haven't seen the the documents uh let me just uh show you very briefly the the configuration of the the space . "
A,Task,"So um well comm there is nothing much to say . "
A,Task,"Well you know how many of us are are present "
A,Task,"and you know that we are um a bit tight actually in our present location . "
A,Task,"Uh that's why actually the university finally um allocated us this uh this part of uh the Unimail building . "
A,Task,"So it's at the sixth floor . "
A,Task,"And it's uh sort of contiguous rooms as you you can all see from uh from here . "
A,Task,"Um so the the the one P_ comm two P_ comm three P_ means the the number of persons . "
A,Task,"As you can see we have several corridor um with a number of uh of uh of rooms comm of one person rooms comm two person room and and three person rooms . "
A,Task,"Um actually I think Agnes did this nice drawing "
A,Task,"so she even put the the view comm "
A,Task,"so we have the old town on one side comm "
A,Task,"and the mountains on the other two sides . "
A,Task,"Uh we have some bathrooms for us . "
A,Task,"Uh and a courtyard which actually means a sort of uh shaft comm "
A,Task,"because uh the court is uh down at uh the first floor . "
D,Other,"Andre comm just comm yeah comm just a a clarification question comm "
D,Elicit,"are they number of people per room indicated strict comm or can we play around with ? "
D,Elicit,"I mean if there are two people comm is it really that you can't put three or uh two and a half or uh "
D,Elicit,"how how was it calculated ? "
A,Task,"Well comm it's a bit difficult to say comm "
A,Task,"because um in fact we have some constraints in terms of furniture . "
A,Task,"Uh they are here . "
D,Minor,"'Kay . "
A,Task,"So um well comm your your person Your your question actually is answered maybe by the third item . "
A,Task,"So each person should get um comm well comm it's a sort of desk comm "
A,Task,"it's made of two pieces "
A,Task,"and it looks like a corner . "
A,Task,"With comm of course comm a chair . "
A,Task,"Uh a filing cabinet that goes under the desk uh "
A,Task,"and comm well comm we can put hanging shelves over the the desks . "
A,Task,"So I'm not really sure it's possible to get three um three desks in a two person office . "
A,Task,"But um we could try . "
D,Minor,"Mm-hmm . "
A,Minor,"What's What should be said here comm "
A,Minor,"I don't know if comm well comm you "
A,Other,"I I will maybe distribute now documents if you don't have them . "
A,Task,"Maybe it's easier . "
A,Elicit,"Do you need something comm Martin ? "
D,Task,"I have everything . "
A,Other,"Um comm I can keep this for you . "
D,Minor,"Okay comm so "
A,Minor,"Uh so it's it's "
C,Task,"I have a copy . "
A,Task,"Yeah comm "
A,Task,"you have a copy comm Susan . "
A,Task,"You too David comm I think . "
B,Task,"Mm-hmm . "
A,Task,"So in fact there are more places than people comm "
A,Task,"so we won't be that constrained . "
A,Task,"Uh as you know some of us and some of you here actually comm Martin and David are part-time . "
A,Task,"So it it's for the moment quite comfortable . "
A,Task,"Normally we should even get an extra uh an extra place for comm you know comm temporary people coming to work on uh on projects . "
D,Elicit,"Are you sure of that ? "
A,Task,"Uh yeah comm I uh yeah comm "
A,Task,"I counted so we have um fifteen pers physical persons "
D,Minor,"Mm-hmm . "
A,Task,"and about uh sixteen comm I think comm uh persons oh comm actually comm eighteen persons in the offices . "
C,Other,"Two "
C,Other,"Six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen . "
D,Task,"Yeah comm "
D,Task,"but counting the rea the the reading room . "
A,Task,"Exactly comm "
A,Task,"it so one of the issues uh here comm it's probably not on the slides comm is that we would like to have uh comm unlike what had until now comm a lounge or reading room uh in one of the the offices . "
D,Minor,"Mm-hmm . "
A,Task,"So in one of the rooms . "
C,Elicit,"Do we really need that ? "
A,Task,"Um comm I think quite a lot of people e expressed the need for that . "
A,Task,"So if we could do it comm then I think it would be much nicer . "
A,Minor,"Um let me also uh st say something "
D,Task,"And Susan comm don't forget the time we spend to for discussions about that room comm "
A,Minor,"Yep . "
D,Task,"so you should be able to valorize this if possible . "
C,Minor,"Okay . "
A,Task,"Yeah comm I I think so . "
D,Task,"But I still agree with you that the b the we are not so we are not so large comm as far as space is concerned . "
C,Task,"Yeah . "
D,Task,"Uh because fifteen people to put in there eighteen positions comm "
A,Minor,"Mm-hmm . "
D,Task,"so uh to the best uh if you take uh two people room for the reading room comm then you have uh sixteen places . Mm . "
A,Task,"Well comm sixteen slots for fifteen people . "
A,Task,"So it's still should be feasible . "
D,Task,"Yeah comm that that also means that the growth will be zero . "
A,Minor,"That's "
A,Task,"Yeah comm "
A,Task,"I think that's quite important to manage some space . "
A,Task,"Maybe we can think of comm yeah comm some two or three comm yeah comm for visiting people . "
D,Task,"Visiting visiti visiting researchers comm "
D,Task,"students coming for exchange students et cetera . "
A,Task,"Correct . "
C,Minor,"Yeah . "
A,Minor,"Mm-hmm . "
A,Other,"Okay comm so let me finish with the the constraints which are almost done . "
A,Task,"So we also need to to find the a spot for the photocopier comm the fax machine comm and the printer . "
A,Task,"The fax comm you know comm is very small comm "
A,Task,"but um the photocopier is quite huge comm "
A,Task,"and the printer is uh well ab this size . "
A,Minor,"Um okay comm "
A,Task,"the offices comes with white boards . "
A,Task,"Not very uh very important . "
A,Task,"Uh the furniture that w each each person has "
A,Task,"and uh you have a list of people . "
A,Task,"So the thing uh you you ought to know is that we're not the only ones that w we're thin that that are thinking about uh for well comm about putting people i in these rooms . "
A,Task,"Um there is another group that is also having discussions . "
A,Task,"So the idea is that today we'll just try to f start seeing the main constraints "
A,Task,"and then you have time to to go and think about it uh "
A,Task,"ask the people you know comm your assistants comm for instance comm "
A,Task,"and at the next meeting we'll try to to come with one solution . "
A,Task,"Uh comm the other group will also propose a solution "
A,Task,"and then there will be another negotiation . "
C,Elicit,"And if we don't get this space then what happens ? "
A,Elicit,"Uh if i if we don't get these ? "
C,Task,"These comm yeah . "
A,Task,"Um comm well basically they are promised to us so uh "
D,Task,"We j we stay where we are . "
A,Elicit,"Do do you think there are chances that they take from us one of the rooms or uh "
C,Minor,"Okay . "
A,Minor,"Yeah comm I I I think it's uh Uh comm yeah . "
D,Task,"No the the the chances might be that there are more people to put in that space . "
A,Task,"Yeah i yeah comm "
A,Task,"that's one of the the problems . "
A,Task,"I think maybe we should take this into account "
A,Task,"and maybe think of some of the bigger rooms with four people comm "
A,Task,"one being temporary or or part-time . "
A,Task,"Um okay comm so maybe we could try to to see now what would be the main options . "
A,Task,"Say the general uh comm well comm arrangement options . "
A,Task,"Do you think that we should put people comm say comm according to projects for instance ? "
A,Task,"In in the table that um that we have comm uh we also have the uh uh the p the main projects on which the people are working . "
A,Minor,"So how "
D,Other,"Andre comm sorry for interrupting comm "
A,Minor,"Yeah . Mm-hmm . "
D,Other,"but uh one again clarification question comm "
D,Elicit,"what is the real margin of manoeuvre that we have for these discussions comm "
D,Task,"because uh at least we are half per cent uh fifty per cent of from E_P_F_L_ "
D,Task,"and uh sometimes you have meetings where w y the the decision is already taken comm "
D,Task,"so uh um you can spend quite a lot of time discussing things comm "
D,Elicit,"so what what will be the impact of what we will come out come up with ? "
A,Task,"Oh comm actually what is fixed is the n the number of rooms . "
A,Task,"This we cannot really change . "
A,Task,"I mean at least not us comm "
A,Task,"it would be much more difficult to get another another room for instance . "
A,Task,"But what is absolutely n not fixed is the arrangement of the people in the rooms . "
A,Task,"So basically we are all the permutations are possible at the moment . "
D,Minor,"So comm another way of a "
D,Elicit,"Another way of asking the question comm is there any other group already working on uh on the how this should be uh should be allocated ? "
D,Elicit,"Or are we the the one that is supposed to do the p the the p position for it ? "
A,Minor,"Um "
A,Task,"Well comm what we are looking for is a solution that suits everyone "
A,Task,"and that makes the maximum of people happy . "
A,Task,"So uh the other group is comm uh I don't think we have to see them as competitors comm "
A,Task,"but they are just trying to to find another local optimum . "
A,Minor,"Or l uh "
D,Elicit,"But wha why why don't they have any representative here . "
D,Minor,"I mean "
C,Task,"Yeah comm "
C,Elicit,"why didn't we have a meeting together ? "
D,Task,"Yeah comm "
B,Task,"Uh comm they have another group "
D,Elicit,"why do we do it separately ? "
A,Minor,"Uh "
B,Task,"and then uh uh uh Andre and Agnes will discuss about it with . "
B,Task,"You are the rep representative of this group actually . "
A,Task,"Yeah . Yeah uh uh we Yeah . "
A,Minor,"I I think that's "
A,Task,"Yeah comm there is no real competition between the two comm "
A,Task,"but we'll just try to find at least two solutions and see how how close they are comm actually . "
A,Task,"It's it's I think well the m the people who who decided this thought it was the best solution to comm mm well comm you know comm find two two kinds of opinions . "
A,Task,"Yeah . Well comm we could have been eight h sitting around here and and talking comm "
D,Minor,"Okay . "
A,Task,"but I think it's it's more difficult . "
D,Task,"No comm "
D,Task,"but you know that that's a standard thing . "
D,Minor,"It's "
D,Task,"Suppose that somebody for some strange reasons want to be in the corner and we don't know about that comm "
D,Task,"we'll put them put her or him somewhere else comm "
D,Task,"then we will do plenty of work for nothing comm "
A,Minor,"Mm-hmm . "
D,Task,"because we'll not have this constraint . "
D,Task,"We'll not be aware of this constraint . "
A,Minor,"Well "
A,Task,"Exactly comm "
A,Minor,"I think "
A,Task,"So so today the goal is not to to find the solution today comm but to set some constraints "
D,Minor,"Oh comm okay . "
D,Minor,"Okay . "
A,Task,"and then go and see the people and find out if they have any preferences . "
A,Task,"Obviously we won't be able to accommodate all the the preferences comm "
A,Task,"but at least we'll find the most uh the most important ones . "
C,Task,"Well comm certainly we have to ask uh Pierrette and uh and Maggie comm "
A,Minor,"P s I think "
C,Task,"since they're not here comm "
C,Task,"because they also have a lot of students that they have to see as we do comm "
A,Minor,"Mm-hmm . "
D,Minor,"Yeah . "
C,Task,"and so that's another consideration comm too . "
D,Minor,"Yeah . "
A,Task,"Yeah comm "
A,Task,"I think so that's one of the things I think we know that they have students comm "
A,Task,"we don't know exactly if they prefer for instance to be alone comm or to well comm to be with their assistant comm or even with another person working on the project . "
A,Task,"So that would have been maybe comm yeah comm another solution is to ask everyone to provide uh an arrangement comm "
A,Task,"but uh I think that's a bit uh a bit hard then to to work out . "
A,Task,"Um so since all of you have a copy of the uh comm well comm of the drawing comm I think for the next time comm m maybe you could come with a concrete proposal with uh names on it . "
A,Task,"But let us try to see today whether we prefer to organise people comm say comm by projects or just professor and assistant . "
A,Elicit,"So what would be f comm say comm first your preferences comm "
A,Minor,"since "
A,Task,"Let's let's start with us comm maybe today . "
A,Elicit,"Um what do you think about it ? "
A,Elicit,"Would you prefer to be alone comm "
A,Elicit,"would you prefer to be with your assistant . "
A,Elicit,"You who are part-time comm do you think you can come here on a very w well regular schedule or is it part-time comm but variable during the week ? "
B,Minor,"Hmm . "
B,Other,"Yeah uh comm okay uh comm "
B,Task,"me personally I would like to to to share the other peopl n uh the room with assistants "
B,Task,"as when you have problems of normal life comm like uh the printer doesn't work comm uh I don't want to ask this to my supervisor comm "
B,Task,"so it's better to to be with a with an assistant to share the room . "
A,Minor,"Uh-huh . "
